"Persona 1","Persona 2","Tipo"
"Camila Vallejo","Iván Moreira","negativo"
"Pdte","Gabriel Boric","positivo"
"Felipe Kast","Gabriel Boric","positivo"
"Franco Parisi","Vlado Mirosevic","negativo"
"Uriarte","De la Carrera","negativo"
"Eric Aedo","Uriarte","neutral"
"Gaspar Rivas","Gubernatti","negativo"
"Naveillán","Vlado Mirosevic","negativo"
"Ignacio Walker","Renuncio","negativo"
"Gloria Hutt","Karol Cariola","positivo"
"AMLO","Gabriel Boric","positivo"
"Miguel Díaz-Canel","Orrego","neutral"
"Rodolfo Carter","Franco Parisi","negativo"
"Gabriel Boric","Lula","positivo"
"Leonardo Soto","Karol Cariola","positivo"
"Daniel Jadue","Apruebo Dignidad","negativo"
"Gabriel Boric","Mauricio Hurtado","neutral"
"Matías Walker","Amarillos","neutral"
"Guillermo Ramírez","Diego Ibáñez","neutral"
"Carrera","Pancho Malo","neutral"
"Franco Parisi","Gobierno","negativo"
"Amarillos","Cristián Warnken","positivo"
"Subsecretario Monsalve","Gabriel Boric","neutral"
"Desbordes","Sebastián Piñera","negativo"
"Oposición  Macaya","Gabriel Boric","neutral"
"Lagos Weber","Giorgio Jackson","neutral"
"Pablo Chill-E","Pancho Malo","negativo"
"Chile Vamos","Antonia Urrejola","negativo"
"Camila Vallejo","Nain-Retamal","negativo"
"Castro","Pancho Malo","neutral"
"Gabriel Boric","Nain-Retamal","positivo"
"Karen Poniachik","Expresidenta Bachelet","negativo"
"Daniel Jadue","Gabriel Boric","neutral"
"De la Carrera","Schneider","neutral"
"Diego Ibáñez","Miguel Bustamante","positivo"
"Cristián Warnken","Amarillos","neutral"
"Carolina Tohá","Katherine Martorell","negativo"
"Ortega","Gabriel Boric","negativo"
"Antonia Urrejola","Belisario Velasco","positivo"
"Álvaro Elizalde","Pancho Malo","positivo"
"Katherine Martorell","Gabriel Boric","neutral"
"Katherine Martorell","Dammert","negativo"
"Gloria Hutt","Cruz-Coke","positivo"
"Ex  Vega","Héctor Llaitul","positivo"
"Pablo Longueira","Amarillos","positivo"
"Gabriel Boric","Sebastián Piñera","neutral"
"Subsecretario Monsalve","Sebastián Piñera","positivo"
"Lagos Weber","Pdte","positivo"
"Guillermo Teillier","Gabriel Boric","neutral"
"Luis Maira","Gabriel Boric","positivo"
"Minsal","Bernardo Martorell","neutral"
"Ripamonti","Gabriel Boric","neutral"
"Carmen Hertz","Axel Kaiser","negativo"
"Ruth Hurtado","Rojo Edwards","neutral"
"Camila Vallejo","Nicolás Cataldo","neutral"
"Nicolás Cataldo","Miguel Crispi","neutral"
"Karol Cariola","Senadora Núñez","positivo"
"Hugo Gutiérrez","Jesús","neutral"
"Francisco Chahuán","Nicolás Cataldo","neutral"
"Mujer","Sebastián Keitel","neutral"
"Chile Vamos","Gabriel Boric","negativo"
"Sebastián Keitel","Izkia Siches","neutral"
"Natalia Piergentili","Gabriel Boric","positivo"
"Francisco Chahuán","Gabriel Boric","neutral"
"Apruebo Dignidad","Gabriel Boric","positivo"
"Carmen Hertz","Gonzalo de la Carrera ante Fiscalía","negativo"
"Carrera","Gabriel Boric","negativo"
"Celis","Bolsonaro","neutral"
"Rubilar","Ex  Vega","negativo"
"Brunet","Ex  Vega","positivo"
"Hugo Herrera","Héctor Llaitul","neutral"
"Oposición  Macaya","Ex  Vega","neutral"
"Rojo Edwards","Héctor Llaitul","negativo"
"Felipe Harboe","Héctor Llaitul","neutral"
"Flavia Torrealba","Héctor Llaitul","neutral"
"Gabriel Boric","Daniel Jadue","neutral"
"Eduardo Durán","Gonzalo de la Carrera","positivo"
"Karol Cariola","Duele","negativo"
"Carlos Gajardo","Alberto Plaza","neutral"
"Leonardo Soto","Giorgio Jackson","neutral"
"Karol Cariola","Giorgio Jackson","neutral"
"Paulina Vodanovic","Daniel Jadue","positivo"
"Karol Cariola","Pamela Jiles","negativo"
"Gabriel Boric","Gustavo Petro","positivo"
"Pizarro","Bermúdez","neutral"
"Leonardo Soto","Giorgio Jackson","neutral"
"Fiscalía","Cristina Fernández","neutral"
"Gabriel Boric","Giorgio Jackson","neutral"
"Pdte","Gabriel Boric","positivo"
"Gabriel Boric","Fonasa","neutral"
"Felipe Kast","Vlado Mirosevic","neutral"
"Gabriel Boric","Michelle Bachelet","neutral"
"Leonardo Soto","Gabriel Boric","neutral"
"Javiera Toro","Heimlich","negativo"
"Diputada Gazmuri","Coloma","negativo"
"Mónica Rincón","Fuad Chahin","negativo"
"Gabriel Boric","Gustavo Petro","neutral"
"Orsini-Valdivia","Iván Moreira","neutral"
"Paulina Vodanovic","Leonardo Soto","positivo"
"Jorge Correa Sutil","Ricardo Lagos","neutral"
"Mónica Rincón","Fuad Chahin","negativo"
"Eduardo Frei Montalva","Gabriel Boric","neutral"
"Gabriel Boric","Zelensky","positivo"
"Cussen","Ex Cubillos","positivo"
"Atesoramos","Salvador Allende","positivo"
"Gabriel Boric","Luis Sierra","negativo"
"Carlos Gajardo","Gabinete Irina Karamanos","neutral"
"Paulina Vodanovic","Katherine Martorell","neutral"
"Leonardo Soto","Expresidenta Bachelet","positivo"
"Sofofa","Gabriel Boric","neutral"
"Camila Vallejo","Sebastián Piñera","neutral"
"Giorgio Jackson","Felipe Kast","positivo"
"Jaime Naranjo","Carmen Hertz","neutral"
"Gabriel Boric","Lavín","neutral"
"Gabriel Boric","Joe Biden","neutral"
"Luz Poblete","Felipe Kast","neutral"
"Francisco Chahuán","Héctor Llaitul","neutral"
"Gabriel Boric","Emmanuel Macron","positivo"
"Karina Oliva","Fiscalía","negativo"
"Iván Flores","Pensé","negativo"
"Guillermo Teillier","Ex  Vega","neutral"
"Giorgio Jackson","Gabriel Boric","positivo"
"Andrés Longton","Celestino Córdova","neutral"
"Pdte","Gabriel Boric","positivo"
"Carabinero","Nain-Retamal","neutral"
"Fenpruss","Yarza","neutral"
"Gabriel Boric","Oposición  Macaya","positivo"
"Raúl Soto","Giorgio Jackson","neutral"
"Gabriel Boric","Johnson","positivo"
"Sebastián Sichel","José Antonio Kast","positivo"
"Senadora Núñez","Izkia Siches","neutral"
"Camila Vallejo","Ercilla","negativo"
"Camila Vallejo","Daniel Jadue","neutral"
"Raúl Sohr","Lula da Silva","positivo"
"Daniel Jadue","Nicolás Maduro","negativo"
"Cordero","Orsini-Valdivia","positivo"
"s Siches","Daniel Jadue","positivo"
"Gabriel Boric","Daniel Jadue","neutral"
"Daniel Jadue","Gabriel Boric","neutral"
"Gabriel Boric","Irina Karamanos","negativo"
"Desaprobación","Gabriel Boric","neutral"
"Mireya Baltra","Salvador Allende","negativo"
"Antonia Urrejola","Daniel Jadue","neutral"
"María Soledad Font","Gabriel Boric","negativo"
"Tomás Duval","Izkia Siches","neutral"
"Gabriel Boric","Sebastián Piñera","positivo"
"Presidenta de Comunes","Karina Oliva","neutral"
"Fernando Atria","Renato Garín","neutral"
"Renato Garín","Fernando Atria","negativo"
"Gabriel Boric","Víctor Torres","neutral"
"Ximena Rincón","Giorgio Jackson","positivo"
"Daniel Jadue","Bárbara Figueroa","neutral"
"Karol Cariola","Daniel Jadue","positivo"
"Karol Cariola","Bárbara Figueroa","positivo"
"Rojo Edwards","Izkia Siches","positivo"
"Hipotecaron","Chile Vamos","negativo"
"José Antonio Kast","Gabriel Boric","neutral"
"Matías Meza-Lopenhandía","Gabriel Boric","neutral"
"Iván Moreira","Oposición  Macaya","neutral"
"Marco Ávila","Franco Parisi","positivo"
"Pedro Castillo","Gabriel Boric","neutral"
"Rojo Edwards","Álvaro Elizalde","positivo"
"Mamá de Boric","Irina Karamanos","positivo"
"Gabriel Boric","Álvaro Elizalde","positivo"
"Tamayo","Gabriel Boric","neutral"
"Gabriel Boric","Jaime Guzmán","neutral"
"Gabriel Boric","Eyzaguirre","neutral"
"Giorgio Jackson","Esteban Valenzuela","neutral"
"Viralizan","Esteban Valenzuela","positivo"
"Ossa","Camila Vallejo","negativo"
"Mujer","Sebastián Piñera","neutral"
"Camila Vallejo","Gabriel Boric","negativo"
"Schalper","Gabriel Boric","negativo"
"Sebastián Piñera","Marcela Vacarezza","neutral"
"Gabriel Boric","Juan Fernández","neutral"
"Giorgio Jackson","Matías Cox","neutral"
"Bolsonaro","Putin","neutral"
"Carmen Hertz","Galo Eidelstein","negativo"
"Benado","Gabriel Boric","neutral"
"Sebastián Piñera","Andrés Allamand","positivo"
"Camila Flores","Andrés Allamand","neutral"
"Antonia Urrejola","Andrés Allamand","positivo"
"Figuras","Andrés Allamand","neutral"
"Carmen Frei","Gabriel Boric","positivo"
"Gabriel Boric","Iglesias","neutral"
"Subsecretario Pavez","Sebastián Piñera","neutral"
"Pepe Mujica","Gabriel Boric","neutral"
"Salvador Allende","Gabriel Boric","positivo"
"Daniel Jadue","Marcela Vacarezza","neutral"
"Mario Marcel","Gabriel Boric","neutral"
"Cristobal Bellolio","Gabriel Boric","neutral"
"Camila Vallejo","Gabriel Boric","positivo"
"Giorgio Jackson","Apruebo Dignidad","positivo"
"U. Mayor","Gabriel Boric","neutral"
"Karol Cariola","Gabriel Boric","positivo"
"Jorge Burgos","Izkia Siches","neutral"
"Leonor Oyarzún","Patricio Aylwin","negativo"
"Oposición  Macaya","Gabriel Boric","positivo"
"Marta Larraechea","Irina Karamanos","positivo"
"Morel","Irina Karamanos","neutral"
"Sebastián Piñera","Cierre de Calles","positivo"
"Evelyn Matthei","Gabriel Boric","positivo"
"Natalia Piergentili","Gabriel Boric","neutral"
